Rvv,muvv,mupv,sigmav,C,conv_status
0.1, 1.0, 0.16, 0.04, 0.23333713322516916, true
0.1, 1.0, 0.04, 0.07, 0.24025598308568363, true
0.1, 1.0, 0.2, 0.04, 0.2318910517712633, true
0.1, 1.0, 0.08, 0.09, 0.24017168702379205, true
0.1, 1.0, 0.0, 0.06, 0.24068531451358896, true
0.1, 1.0, 0.04, 0.28, 0.24069710170102376, true
0.1, 1.0, 0.0, 0.1, 0.24070251552958005, true
0.1, 1.0, 0.12, 0.06, 0.23863305250643815, true
0.1, 1.0, 0.04, 0.04, 0.23813298121376394, true
0.1, 1.0, 0.08, 0.06, 0.23925564713084, true
0.1, 1.0, 0.16, 0.21, 0.2405867051187737, true
0.1, 1.0, 0.08, 0.1, 0.2403375886261642, true
0.1, 1.0, 0.0, 0.28, 0.240710613953259, true
0.1, 1.0, 0.0, 0.05, 0.24054615061295745, true
0.1, 1.0, 0.12, 0.12, 0.2403526098529008, true
0.1, 1.0, 0.16, 0.24, 0.24061859911665479, true
0.1, 1.0, 0.04, 0.13, 0.2406020038154843, true
0.1, 1.0, 0.04, 0.17, 0.24066246484512263, true
0.1, 1.0, 0.12, 0.26, 0.24066672724059443, true
0.1, 1.0, 0.16, 0.34, 0.2406835993300639, true
0.1, 1.0, 0.16, 0.17, 0.24052332194149303, true
0.1, 1.0, 0.08, 0.26, 0.24067732592941066, true
0.1, 1.0, 0.04, 0.16, 0.24063630253210175, true
0.1, 1.0, 0.0, 0.33, 0.240688404036301, true
0.1, 1.0, 0.12, 0.09, 0.2399515734682674, true
0.1, 1.0, 0.08, 0.22, 0.24063296461634018, true
0.1, 1.0, 0.16, 0.11, 0.2400854537357997, true
0.1, 1.0, 0.2, 0.0, 0.2224550370370373, true
0.1, 1.0, 0.04, 0.11, 0.24053876045043243, true
0.1, 1.0, 0.2, 0.09, 0.23945470754570372, true
0.1, 1.0, 0.0, 0.24, 0.24070294119739352, true
0.1, 1.0, 0.04, 0.23, 0.24065838588865707, true
0.1, 1.0, 0.0, 0.25, 0.24068968103866947, true
0.1, 1.0, 0.0, 0.3, 0.24069801613364206, true
0.1, 1.0, 0.0, 0.26, 0.24070062845546478, true
0.1, 1.0, 0.04, 0.03, 0.23339604002002978, true
0.1, 1.0, 0.12, 0.25, 0.24064065138023594, true
0.1, 1.0, 0.16, 0.13, 0.24032503926846527, true
0.1, 1.0, 0.16, 0.23, 0.24061980369251362, true
0.1, 1.0, 0.16, 0.15, 0.24043305350890454, true
0.1, 1.0, 0.16, 0.29, 0.24068534495883026, true
0.1, 1.0, 0.04, 0.29, 0.24070595610359904, true
0.1, 1.0, 0.04, 0.15, 0.24064019573244466, true
0.1, 1.0, 0.12, 0.0, 0.2224550370370375, true
0.1, 1.0, 0.04, 0.05, 0.23944652560727644, true
0.1, 1.0, 0.12, 0.18, 0.2405676391799278, true
0.1, 1.0, 0.08, 0.16, 0.24059670145098105, true
0.1, 1.0, 0.0, 0.29, 0.24070291193677953, true
0.1, 1.0, 0.0, 0.16, 0.24068784072051058, true
0.1, 1.0, 0.0, 0.32, 0.24070736831668105, true
0.1, 1.0, 0.16, 0.03, 0.2291986769046958, true
0.1, 1.0, 0.12, 0.08, 0.2397506264500204, true
0.1, 1.0, 0.04, 0.19, 0.24065322086161486, true
0.1, 1.0, 0.04, 0.33, 0.24068055306363878, true
0.1, 1.0, 0.08, 0.27, 0.24068329281267978, true
0.1, 1.0, 0.0, 0.13, 0.24069136316213335, true
0.1, 1.0, 0.08, 0.0, 0.22245503703703765, true
0.1, 1.0, 0.04, 0.18, 0.24065249452916973, true
0.1, 1.0, 0.16, 0.14, 0.24035851167868802, true
0.1, 1.0, 0.0, 0.22, 0.2406778948431929, true
0.1, 1.0, 0.12, 0.21, 0.24061206571460395, true
0.1, 1.0, 0.12, 0.35, 0.2406861658731422, true
0.1, 1.0, 0.08, 0.2, 0.24064982911275126, true
0.1, 1.0, 0.16, 0.12, 0.2401976009501027, true
0.1, 1.0, 0.12, 0.28, 0.24065988712138053, true
0.1, 1.0, 0.16, 0.3, 0.24066787179440663, true
0.1, 1.0, 0.04, 0.32, 0.2407082516342509, true
0.1, 1.0, 0.08, 0.21, 0.24064011683072994, true
0.1, 1.0, 0.08, 0.08, 0.2400886783752243, true
0.1, 1.0, 0.0, 0.14, 0.24068820888790518, true
0.1, 1.0, 0.08, 0.05, 0.23794097592077865, true
0.1, 1.0, 0.04, 0.26, 0.24068479609513815, true
0.1, 1.0, 0.08, 0.23, 0.24064432219412724, true
0.1, 1.0, 0.16, 0.25, 0.24062972042014416, true
0.1, 1.0, 0.08, 0.07, 0.23981625164923914, true
0.1, 1.0, 0.12, 0.23, 0.24063745705282397, true
0.1, 1.0, 0.16, 0.31, 0.24067366471302465, true
