Rvv,muvv,mupv,sigmav,C,conv_status
0.0, 1.0, 0.1, 0.009, 0.226531723762937, true
0.0, 1.0, 0.1, 0.015, 0.2293891772172301, true
0.0, 1.0, 0.1, 0.033, 0.23626256487463113, true
0.0, 1.0, 0.1, 0.039, 0.23742304574274214, true
0.0, 1.0, 0.1, 0.069, 0.23976006274431141, true
0.0, 1.0, 0.1, 0.048, 0.23855124933630256, true
0.0, 1.0, 0.1, 0.006, 0.22510690328249944, true
0.0, 1.0, 0.1, 0.03, 0.23528563535411343, true
0.0, 1.0, 0.1, 0.06, 0.23936836318635243, true
0.0, 1.0, 0.1, 0.036, 0.23695760683000944, true
0.0, 1.0, 0.1, 0.018, 0.23082017856960096, true
0.0, 1.0, 0.1, 0.024, 0.23324346955151984, true
0.0, 1.0, 0.1, 0.066, 0.23965985583924124, true
0.0, 1.0, 0.1, 0.045, 0.23822098977513498, true
0.0, 1.0, 0.1, 0.021, 0.23206968714716836, true
0.0, 1.0, 0.1, 0.003, 0.22369163972569894, true
0.0, 1.0, 0.1, 0.042, 0.23785706263320322, true
0.0, 1.0, 0.1, 0.063, 0.23951996884207347, true
0.0, 1.0, 0.1, 0.057, 0.23922724921078198, true
0.0, 1.0, 0.1, 0.054, 0.2390638557857892, true
0.0, 1.0, 0.1, 0.051, 0.23886397615934826, true
0.0, 1.0, 0.1, 0.027, 0.23388689159101286, true
0.0, 1.0, 0.1, 0.012, 0.22796385863662103, true
0.0, 1.0, 0.1, 0.0, 0.22245503703703773, true
0.01, 1.0, 0.1, 0.117, 0.24039618488401898, true
0.0, 1.0, 0.1, 0.102, 0.2403202729627215, true
0.02, 1.0, 0.1, 0.015, 0.22913249089394586, true
0.015, 1.0, 0.1, 0.045, 0.23819517271158122, true
0.01, 1.0, 0.1, 0.042, 0.23786172165119798, true
0.01, 1.0, 0.1, 0.132, 0.2404752498422165, true
0.01, 1.0, 0.1, 0.0, 0.2224550370370375, true
0.005, 1.0, 0.1, 0.132, 0.2404760216952468, true
0.005, 1.0, 0.1, 0.072, 0.239855801160542, true
0.0, 1.0, 0.1, 0.12, 0.24043906531301285, true
0.015, 1.0, 0.1, 0.105, 0.24035665235046746, true
0.0, 1.0, 0.1, 0.111, 0.24037303145039934, true
0.005, 1.0, 0.1, 0.063, 0.2395197500533502, true
0.015, 1.0, 0.1, 0.129, 0.24048078268213913, true
0.0, 1.0, 0.1, 0.072, 0.23985764809458204, true
0.01, 1.0, 0.1, 0.036, 0.23695645362345136, true
0.005, 1.0, 0.1, 0.066, 0.23965870078751916, true
0.01, 1.0, 0.1, 0.081, 0.24004811988322663, true
0.015, 1.0, 0.1, 0.057, 0.23921907633003195, true
0.0, 1.0, 0.1, 0.084, 0.2400817590505908, true
0.005, 1.0, 0.1, 0.087, 0.24012948198533407, true
0.015, 1.0, 0.1, 0.072, 0.23985637653213698, true
0.0, 1.0, 0.1, 0.126, 0.24046984171611388, true
0.015, 1.0, 0.1, 0.141, 0.24051222890659865, true
0.01, 1.0, 0.1, 0.093, 0.24019015528257867, true
0.005, 1.0, 0.1, 0.06, 0.23937243172649705, true
0.01, 1.0, 0.1, 0.087, 0.2401278934221721, true
0.005, 1.0, 0.1, 0.09, 0.24012998330148425, true
0.01, 1.0, 0.1, 0.045, 0.23821136106574164, true
0.0, 1.0, 0.1, 0.078, 0.23998212751495512, true
0.015, 1.0, 0.1, 0.096, 0.2402405130423707, true
0.0, 1.0, 0.1, 0.075, 0.23993469854382612, true
0.0, 1.0, 0.1, 0.147, 0.24053469327496185, true
0.005, 1.0, 0.1, 0.069, 0.23975851769901094, true
0.005, 1.0, 0.1, 0.078, 0.23998209620274083, true
0.015, 1.0, 0.1, 0.111, 0.2403733119319645, true
0.005, 1.0, 0.1, 0.135, 0.24047430212193066, true
0.01, 1.0, 0.1, 0.15, 0.2405455325048014, true
0.005, 1.0, 0.1, 0.114, 0.2403903725045457, true
